timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1715854831.742597 0.06990371 -0.04372145 -0.01160096 -0.00027111 0.00314515 -0.00084767
1715854831.809288 0.06990372 -0.04372145 -0.01160096 0.00001392 0.00343352 -0.00008595
1715854831.875978 0.06990372 -0.04372145 -0.01160096 -0.00052713 0.00341405 -0.00048080
1715854831.942668 0.06990372 -0.04372145 -0.01160097 -0.00055840 0.00341422 0.00013502
1715854832.009359 0.06990376 -0.04372148 -0.01160097 -0.00035864 0.00316288 -0.00067615
1715854832.076050 0.06990379 -0.04372149 -0.01160098 0.00025333 0.00318410 -0.00041667
1715854832.142741 0.06990378 -0.04372149 -0.01160098 -0.00025538 0.00303376 0.00029811
1715854832.209432 0.06990377 -0.04372148 -0.01160098 0.00036610 0.00339598 0.00000844
1715854832.276124 0.06990377 -0.04372149 -0.01160098 -0.00003401 0.00372133 -0.00041948
1715854832.342814 0.06990378 -0.04372149 -0.01160098 0.00016563 0.00379613 -0.00017292
1715854832.409505 0.06990378 -0.04372149 -0.01160098 0.00004301 0.00270866 -0.00004095
1715854832.476198 0.06990378 -0.04372149 -0.01160098 0.00014439 0.00343640 -0.00027065
1715854832.542892 0.06990377 -0.04372148 -0.01160097 -0.00009427 0.00315079 0.00031351
1715854832.609586 0.06990377 -0.04372148 -0.01160097 -0.00048765 0.00344704 0.00015384
1715854832.676280 0.06990376 -0.04372142 -0.01160096 0.00034878 0.00341598 -0.00129270
1715854832.742975 0.06990376 -0.04372143 -0.01160097 -0.00012045 0.00324782 -0.00051410
1715854832.809668 0.06990376 -0.04372143 -0.01160097 -0.00021657 0.00353872 -0.00119488
1715854832.876363 0.06990371 -0.04372139 -0.01160095 -0.00026504 0.00248986 0.00041452
1715854832.943057 0.06990371 -0.04372139 -0.01160095 0.00001183 0.00331927 -0.00027083
1715854833.009752 0.06990374 -0.04372141 -0.01160096 -0.00007699 0.00325669 -0.00031225
1715854833.076447 0.06990374 -0.04372141 -0.01160096 -0.00012105 0.00267892 0.00008894
1715854833.143141 0.06990375 -0.04372142 -0.01160096 -0.00070799 0.00357484 -0.00074626
1715854833.209836 0.06990372 -0.04372140 -0.01160095 -0.00026468 0.00333377 0.00047487
1715854833.276530 0.06990372 -0.04372139 -0.01160095 -0.00010525 0.00313387 0.00015090
1715854833.343225 0.06990371 -0.04372139 -0.01160095 -0.00054545 0.00335040 -0.00050511
1715854833.409921 0.06990371 -0.04372139 -0.01160095 -0.00013535 0.00347614 -0.00046797
1715854833.476612 0.06990371 -0.04372139 -0.01160095 -0.00080161 0.00314421 0.00032815
